,0
488,POINT ( -16.3423105 -71.56895878830176 )
489,POINT ( -13.5362553 -71.93777215348605 )
490,POINT ( -12.02178305 -77.11123822674789 )
491,POINT ( 5.45209655 -55.18802501876111 )
492,POINT ( -34.830431950000005 -56.02201434471925 )
493,POINT ( -30.97508805 -55.476310098194325 )
494,POINT ( 10.60316215 -66.99667670060362 )
495,POINT ( 10.557807100000002 -71.7254962784662 )
496,POINT ( 10.151676850000001 -67.92881547478783 )
497,POINT ( 43.85891105 51.09314386990394 )
498,POINT ( 50.2470166 57.20792989023883 )
499,POINT ( 43.355686250000005 77.04258378940835 )
500,POINT ( 47.12124025 51.8232747235264 )
501,POINT ( 49.67500345 73.33836907065458 )
502,POINT ( 53.33082215 69.59255744913858 )
503,POINT ( 53.2046156 63.549854554025714 )
504,POINT ( 44.705641299999996 65.58855590395623 )
505,POINT ( 51.0258535 71.46419813232808 )
506,POINT ( 51.15188705 51.541522050576205 )
507,POINT ( 50.034302100000005 82.49913736104511 )
508,POINT ( 52.19522405 77.07365521776973 )
509,POINT ( 54.774539950000005 69.18321518318967 )
510,POINT ( 50.34996445 80.23222798253937 )
511,POINT ( 42.36478735 69.48092676188335 )
512,POINT ( 42.854462600000005 71.30450095555221 )
513,POINT ( 43.0581795 74.46359489585606 )
514,POINT ( 42.58600115 76.70732070846512 )
515,POINT ( 42.50613885 78.4129972303126 )
516,POINT ( 43.9739457 -88.5558077990564 )
517,POINT ( 38.54557415 68.82363701984585 )
518,POINT ( 40.218460300000004 69.70003078769972 )
519,POINT ( 37.989594 69.80781985333839 )
520,POINT ( 37.9837541 58.36266734224667 )
521,POINT ( 41.7634636 59.83111768268917 )
522,POINT ( 37.6254239 61.89707073841751 )
523,POINT ( 40.065514 52.9967006462539 )
524,POINT ( 38.9368224 63.56729013685301 )
525,POINT ( 40.726543899999996 72.29303828990521 )
526,POINT ( 39.77495605 64.48141101391582 )
527,POINT ( 40.3583628 71.7510007489508 )
528,POINT ( 40.98413205 71.56264283498558 )
529,POINT ( 40.1179573 65.16810111979285 )
530,POINT ( 42.48952825 59.6222565729817 )
531,POINT ( 39.698557 66.99274627772559 )
532,POINT ( 37.28581275 67.31175901967998 )
533,POINT ( 41.58095495 60.6451779891279 )
534,POINT ( 39.2295753 125.67704274664212 )
535,POINT ( 39.614616 140.21935028858 )
536,POINT ( 40.7340525 140.689686 )
537,POINT ( 33.586802 130.44739386660302 )
538,POINT ( 41.76987575 140.82501678734644 )
539,POINT ( 31.803187 130.718951 )
540,POINT ( 36.39344695 136.40924640121113 )
541,POINT ( 34.437479100000004 132.91951481722555 )
542,POINT ( 33.837738349999995 131.03353064413625 )
543,POINT ( 32.917846 129.91545060447868 )
544,POINT ( 3.6866040499999997 125.52690263699812 )
545,POINT ( 34.858719699999995 136.81136334974985 )
546,POINT ( 37.9555294 139.118527 )
547,POINT ( 33.48025315 131.73595976930255 )
548,POINT ( 34.75697285 133.8538693555767 )
549,POINT ( 34.43420455 135.2225230169576 )
550,POINT ( 42.786787000000004 141.68295976251358 )
551,POINT ( 38.138254849999996 140.9299361810537 )
552,POINT ( 34.796503799999996 138.18413707216476 )
553,POINT ( 35.54572095 139.78058713123818 )
554,POINT ( 35.77587145 140.3933101399336 )
555,POINT ( 47.84297625000001 106.7667561731925 )
556,POINT ( 40.56068065 109.99998138888844 )
