airfield_name,coord
Vozzhayevka air base,
Yaroslavl Levtsovo air base,
Yefremov air base,
Yeysk Airport,
Yugorsk Sovetsky air base,
Zavitinsk air base,
Zherdevka air base,
Osan Air Base,
Kunsan Airport,
Chitose Air Base,
Gifu Airport,
Hamamatsu Air Base,
Hōfu Airport,
Ibaraki Airport,
Iruma Air Base,
Kenebetsu Air Base,
Komatsu Airport,
Matsushima Airport,
Misawa Air Base,
Nagoya Airfield,
Naha Air Base,
Shimojishima Airport,
Shizuhama Air Base,
Tsuiki Air Field,
Yakumo Sub Base,
Yokota Air Base,
Adampur Airport,
Ambala Airport,
Sarsawa Airport,
Udhampur Airport,
Barapani Airport,
Hasimara Airport,
Kalaikunda Airport,
Panagarh Airport,
Bamrauli Airport,
Gorakhpur Airport,
Maharajpur Airport,
Coimbatore Airport,
Tambaram Airport,
Thanjavur Airport,
Jaisalmer Airport,
Lohegaon Airport,
Phalodi Airport,
Uttarlai Airport,
Dundigal Airport,
Hakimpet Airport,
Car Nicobar Air Force Station,
Anápolis Airport,
Belém Airport,
Boa Vista Airport,
Canoas Airport,
Florianópolis Airport,
Fortaleza Airport,
Manaus Airport,
Natal Air Force Base,
Porto Velho Airport,
Santa Cruz Air Force Base,
Afonsos Air Force Base,
Santa Maria Air Force Base ,
