,0
388,POINT ( 56.43610515 61.98076211167784 )
389,POINT ( 56.126879349999996 95.66647477447432 )
390,POINT ( 42.855962700000006 74.84241934896986 )
391,POINT ( 71.97928245 102.51148804695876 )
392,POINT ( 35.4119739 35.95470991984497 )
393,POINT ( 54.88969255000001 20.58772076792804 )
394,POINT ( 69.09600325 32.41238661468715 )
395,POINT ( 67.4634243 33.58766906308739 )
396,POINT ( 52.6694601 42.6850159930233 )
397,POINT ( 50.603593399999994 137.0847025883197 )
398,POINT ( 44.96271025 38.00025012097566 )
399,POINT ( 55.61135715 36.641853029480146 )
400,POINT ( 54.352764449999995 77.35206729675332 )
401,POINT ( 51.752429250000006 36.292384936972404 )
402,POINT ( 51.406528699999996 109.89996276574777 )
403,POINT ( 52.140477399999995 46.97032512595497 )
404,POINT ( 57.95274525 56.19280780446549 )
405,POINT ( 51.53621165 43.299776315340424 )
406,POINT ( 53.3635611 83.5504536213013 )
407,POINT ( 35.40183425 35.950402853728235 )
408,POINT ( 52.91717465 103.56204966088848 )
409,POINT ( 65.0531244 56.67572452700237 )
410,POINT ( 45.40099395 42.58516459379129 )
411,POINT ( 53.14612675 50.713251987029636 )
412,POINT ( 51.368117 42.173405848831 )
413,POINT ( 56.36868235 101.68834627611253 )
414,POINT ( 44.828001799999996 44.018859266358106 )
415,POINT ( 44.919827749999996 147.62206870413434 )
416,POINT ( 50.795526499999994 40.60572849909932 )
417,POINT ( 51.97547165 55.54932816228007 )
418,POINT ( 55.2577895 61.29716281710526 )
419,POINT ( 50.3967018 116.3470001 )
420,POINT ( 52.070036 113.43497232359198 )
421,POINT ( 70.6258034 147.90085559880623 )
422,POINT ( 44.0848543 133.8702811325228 )
423,POINT ( 56.6631692 48.02665001541543 )
424,POINT ( 47.2608999 142.76255297363733 )
425,POINT ( 51.91303305 113.13002174708333 )
426,POINT ( 57.7254908 36.65705954869786 )
427,POINT ( 54.64380755 39.57294275607957 )
428,POINT ( 50.679436499999994 106.13318462202989 )
429,POINT ( 53.1703687 158.4407429799063 )
430,POINT ( 44.0978145 131.80187438514503 )
431,POINT ( 50.4266217 127.40968452242377 )
432,POINT ( 50.2034587 45.20815531332069 )
433,POINT ( 52.90462465 156.8815856815106 )
434,POINT ( 52.64575375 39.45544269580825 )
435,POINT ( 48.6395484 43.79204557517866 )
436,POINT ( 52.9173281 40.37026790194341 )
437,POINT ( 56.82934545 35.7553413227527 )
438,POINT ( 48.95233605 40.29823695652823 )
439,POINT ( 67.98928965 33.01103252316223 )
440,POINT ( 55.8370557 38.1706108 )
441,POINT ( 48.3178777 41.79024247079424 )
442,POINT ( 68.8701277 -179.38297774578268 )
443,POINT ( 80.7997921 47.4841915 )
444,POINT ( 67.6366017 53.088479998003734 )
445,POINT ( 51.26108225 128.71642049179545 )
446,POINT ( 51.0736434 58.59857484668805 )
447,POINT ( 52.27318775 45.389749654139905 )
448,POINT ( 61.887404000000004 34.14566501731344 )
449,POINT ( 64.91850629999999 34.2717004764815 )
450,POINT ( 66.40058074999999 112.03287408276974 )
451,POINT ( 51.09280955 42.17345135157818 )
452,POINT ( 46.054754450000004 38.2359784382993 )
453,POINT ( 64.3800982 -173.2386276724423 )
454,POINT ( 57.7818036 28.38658369449417 )
455,POINT ( 59.6878375 30.340714285620855 )
456,POINT ( 52.2973267 43.723811380590995 )
457,POINT ( 53.1092638 50.09876370690261 )
458,POINT ( 55.439058 42.306393450521234 )
459,POINT ( 56.126909049999995 40.317342559545104 )
460,POINT ( 56.039606 63.67751326758961 )
461,POINT ( 54.3411657 32.47582007202352 )
462,POINT ( 54.22346115 34.37327089110342 )
463,POINT ( 59.3576061 30.032565507896386 )
464,POINT ( 54.8226361 32.024031446448255 )
465,POINT ( 58.1370972 30.332083919649442 )
466,POINT ( 45.110943899999995 42.116171759451575 )
467,POINT ( 62.18569095 117.63562654945319 )
468,POINT ( 52.70400925 41.377386365215614 )
469,POINT ( 71.69780095 128.89743950212954 )
470,POINT ( 52.50097425 52.78398057711137 )
471,POINT ( 57.5604597 40.15795121123496 )
472,POINT ( 64.73627164999999 177.7358336928592 )
473,POINT ( 52.3333015 116.8330002 )
474,POINT ( 51.1665075 128.44622479610254 )
475,POINT ( 54.269227099999995 48.22490186377723 )
476,POINT ( 57.7276805 40.050144950430166 )
477,POINT ( 53.11405795 38.24061406949573 )
478,POINT ( 46.68697795 38.237158094610876 )
479,POINT ( 61.26524525 63.141481714443145 )
